,Model_Name,Enocding_Type,Clustering_Algorithm,Clusters,Silhouette_Score,Survival_Pval,Cluster_score
0,L3ARMAConv,final,KMEANS,2,0.18427548155917528,0.8299784604647343,0.2361867271948064
1,L3ARMAConv,final,KMEANS,3,0.17723722723018984,0.7765982916364451,0.014932620359967575
2,L3ARMAConv,final,KMEANS,4,0.12401355652787524,0.7135130046905229,0.013348787061801736
3,L3ARMAConv,final,KMEANS,5,0.16073029876068742,0.7885896773353329,0.00793408951662836
4,L3ARMAConv,final,KMEANS,6,0.1628570292230139,0.7906588232822619,0.004373235777487847
5,L3ARMAConv,final,PAM,2,0.4969237744808197,0.7522677830119072,0.24332947096077842
6,L3ARMAConv,final,PAM,3,0.5249553322792053,0.8682592785894925,0.04485199697079451
7,L3ARMAConv,final,PAM,4,0.4751748740673065,0.4445320147234699,0.023320327840996587
8,L3ARMAConv,final,PAM,5,0.4416288733482361,0.6709666113721253,0.011928971907494878
9,L3ARMAConv,final,PAM,6,0.40024247765541077,0.32587351664697334,0.010875420163384691
10,L3ARMAConv,final,COMMONNN,2,-0.17579489375449348,0.025316692862014593,0.03825336105776098
11,L3ARMAConv,final,AFFINITY_PROPAGATION,15,0.33310332894325256,0.5261017834834225,0.0015767655564414202
12,L3ARMAConv,final,AGGLOMERATIVE_CLUSTERING,2,0.114022288610519,0.1944395037841443,0.2461865684671672
13,L3ARMAConv,final,AGGLOMERATIVE_CLUSTERING,3,0.12480811326257128,0.368856233923903,0.014955745581629144
14,L3ARMAConv,final,AGGLOMERATIVE_CLUSTERING,4,0.11668439067617296,0.5735009661551975,0.012634559282280085
15,L3ARMAConv,final,AGGLOMERATIVE_CLUSTERING,5,0.12335668185752649,0.6983429614483992,0.006139540641986805
16,L3ARMAConv,final,AGGLOMERATIVE_CLUSTERING,6,0.11743350978545232,0.8147538553190626,0.005617507253443523
17,L3ARMAConv,final,BRICH,2,0.6693637371063232,0.6579528273376697,0.049110331582038376
18,L3ARMAConv,final,BRICH,3,0.4903255105018616,0.8314722595108099,0.0397314850188288
19,L3ARMAConv,final,BRICH,4,0.47957396507263184,0.5824371692836277,0.011968631663168508
20,L3ARMAConv,final,BRICH,5,0.4464026093482971,0.5625856250294143,0.009121913745252362
21,L3ARMAConv,final,BRICH,6,0.45161426067352295,0.6958893933025947,0.0087685861889316
22,L3ARMAConv,final,DBSCAN,2,-0.17579489375449348,0.025316692862014593,0.03825336105776098
23,L3ARMAConv,final,MEANSHIFT,25,0.18265813998496355,0.2043896850226914,0.00018818307247642934
24,L3ARMAConv,final,SPECTRAL_CLUSTERING,2,0.5686242155582163,0.6731068716860342,0.007904636434342312
25,L3ARMAConv,final,SPECTRAL_CLUSTERING,3,0.5384553243079278,0.4769107643696241,0.003967998971854517
26,L3ARMAConv,final,SPECTRAL_CLUSTERING,4,0.3931518601996947,0.6049908286040666,0.0029788913803417585
27,L3ARMAConv,final,SPECTRAL_CLUSTERING,5,0.25826890429167043,0.5309811632400463,0.0029183190726001884
28,L3ARMAConv,final,SPECTRAL_CLUSTERING,6,0.2699594924817973,0.6410083369927279,0.00198785570506235
29,L3ARMAConv,final,GAUSSIAN_MIXTURE,2,0.5567026021701561,0.49568178321998013,0.015682290757289566
30,L3ARMAConv,final,GAUSSIAN_MIXTURE,3,0.16305254598616148,0.5898240527415346,0.024939188204152002
31,L3ARMAConv,final,GAUSSIAN_MIXTURE,4,0.14943491562482894,0.8620882367462636,0.012417057868478886
32,L3ARMAConv,final,GAUSSIAN_MIXTURE,5,0.18509989626800746,0.8003872924853153,0.007925902378183112
33,L3ARMAConv,final,GAUSSIAN_MIXTURE,6,0.12279623681477836,0.8809542714578186,0.0072025577619814094
0,L3ARMAConv,alsnmf,KMEANS,2,0.5939764933549064,0.9602302378729274,0.21713941048554783
1,L3ARMAConv,alsnmf,KMEANS,3,0.6019027844262321,0.6936996916921015,0.039471446574155765
2,L3ARMAConv,alsnmf,KMEANS,4,0.5517511218722471,0.6212926107302903,0.03157959774915273
3,L3ARMAConv,alsnmf,KMEANS,5,0.5046024953116331,0.7150222202037338,0.022671759934637485
4,L3ARMAConv,alsnmf,KMEANS,6,0.49448517844929635,0.2718340909957771,0.01299341718253986
5,L3ARMAConv,alsnmf,PAM,2,0.5626727938652039,0.7253056053893385,0.24196441326328155
6,L3ARMAConv,alsnmf,PAM,3,0.49199527502059937,0.4924372937059338,0.10993040761797233
7,L3ARMAConv,alsnmf,PAM,4,0.4822933077812195,0.912703885089548,0.058196645488746875
8,L3ARMAConv,alsnmf,PAM,5,0.5062522888183594,0.9651070256598506,0.02067880488327578
9,L3ARMAConv,alsnmf,PAM,6,0.5336517691612244,0.7797899428877975,0.017178968178718418
10,L3ARMAConv,alsnmf,COMMONNN,8,0.1179420759204054,0.8739566310886516,0.001938596207807572
11,L3ARMAConv,alsnmf,AFFINITY_PROPAGATION,11,0.504006564617157,0.46993573846240433,0.004482217888896902
12,L3ARMAConv,alsnmf,AGGLOMERATIVE_CLUSTERING,2,0.5745781124437238,0.8672568658818015,0.24513896604815796
13,L3ARMAConv,alsnmf,AGGLOMERATIVE_CLUSTERING,3,0.5988678835327476,0.7024875613117885,0.0395468019462281
14,L3ARMAConv,alsnmf,AGGLOMERATIVE_CLUSTERING,4,0.5552941835248251,0.5101428967622812,0.028306661319649554
15,L3ARMAConv,alsnmf,AGGLOMERATIVE_CLUSTERING,5,0.4599695396479307,0.6731980468192078,0.024029058172815504
16,L3ARMAConv,alsnmf,AGGLOMERATIVE_CLUSTERING,6,0.4613175608663315,0.34033794367704695,0.009581638870391656
17,L3ARMAConv,alsnmf,BRICH,2,0.5619816780090332,0.611890576910721,0.2439643815177537
18,L3ARMAConv,alsnmf,BRICH,3,0.5542687773704529,0.6953574550424231,0.021704041691717788
19,L3ARMAConv,alsnmf,BRICH,4,0.49579036235809326,0.7844640107380482,0.01785243598541025
20,L3ARMAConv,alsnmf,BRICH,5,0.46434348821640015,0.7852264347836777,0.01605765199781838
21,L3ARMAConv,alsnmf,BRICH,6,0.5040866136550903,0.8810657041504465,0.014307996498220522
22,L3ARMAConv,alsnmf,DBSCAN,3,0.39115204672947007,0.6516193404726496,0.040577386112107046
23,L3ARMAConv,alsnmf,MEANSHIFT,2,0.6004212597629537,0.4927028045931505,0.08647481786003396
24,L3ARMAConv,alsnmf,SPECTRAL_CLUSTERING,2,0.5937755161679265,0.7570349652678409,0.21567911620450472
25,L3ARMAConv,alsnmf,SPECTRAL_CLUSTERING,3,0.5044009731477532,0.90209799490823,0.04764100287477988
26,L3ARMAConv,alsnmf,SPECTRAL_CLUSTERING,4,0.16886936368531213,0.9575506493220932,0.0036763426206336907
27,L3ARMAConv,alsnmf,SPECTRAL_CLUSTERING,5,0.12207209949012661,0.9343050725584972,0.00251543066454673
28,L3ARMAConv,alsnmf,SPECTRAL_CLUSTERING,6,0.08037634855033357,0.10072017979893644,0.0012919124849336424
29,L3ARMAConv,alsnmf,GAUSSIAN_MIXTURE,2,0.5563066484315244,0.9514480345353045,0.24751988063681526
30,L3ARMAConv,alsnmf,GAUSSIAN_MIXTURE,3,0.5032597651829451,0.5571145387838978,0.07245628883430011
31,L3ARMAConv,alsnmf,GAUSSIAN_MIXTURE,4,0.43432945987754046,0.7508408623992657,0.049942369433568556
32,L3ARMAConv,alsnmf,GAUSSIAN_MIXTURE,5,0.4559446892703151,0.6976589535543187,0.01826476882370005
33,L3ARMAConv,alsnmf,GAUSSIAN_MIXTURE,6,0.4058145839682918,0.8252219430974066,0.01100960500883072
0,L3ARMAConv,nmf,KMEANS,2,0.5421182771855267,0.6856214750933691,0.21713941048554783
1,L3ARMAConv,nmf,KMEANS,3,0.5208919618794849,0.5944437203062501,0.05419217920349361
2,L3ARMAConv,nmf,KMEANS,4,0.4277672656075117,0.5514779036564281,0.040520631945551555
3,L3ARMAConv,nmf,KMEANS,5,0.4113391990975764,0.5383696220998313,0.01851814307890156
4,L3ARMAConv,nmf,KMEANS,6,0.4078749319735699,0.3157145859286459,0.008298372456972717
5,L3ARMAConv,nmf,PAM,2,0.5117905735969543,0.6567938374948421,0.2439643815177537
6,L3ARMAConv,nmf,PAM,3,0.5352843403816223,0.7715641328258537,0.07135991016731205
7,L3ARMAConv,nmf,PAM,4,0.5182129144668579,0.35391944727998104,0.016254751675676464
8,L3ARMAConv,nmf,PAM,5,0.4764783978462219,0.7931936203507784,0.012094895577918506
9,L3ARMAConv,nmf,PAM,6,0.4826798141002655,0.6619065712394803,0.008286023925500438
10,L3ARMAConv,nmf,COMMONNN,2,0.7137642472041359,0.7858000100002145,0.011809336359740321
11,L3ARMAConv,nmf,AFFINITY_PROPAGATION,12,0.45260152220726013,0.6676115340992569,0.0032929920560706076
12,L3ARMAConv,nmf,AGGLOMERATIVE_CLUSTERING,2,0.4678536774071409,0.9558638097902424,0.2499007952254726
13,L3ARMAConv,nmf,AGGLOMERATIVE_CLUSTERING,3,0.4876887613847572,0.6579934277375552,0.052447687555037634
14,L3ARMAConv,nmf,AGGLOMERATIVE_CLUSTERING,4,0.41990266928843667,0.5164561120934781,0.03771731520332228
15,L3ARMAConv,nmf,AGGLOMERATIVE_CLUSTERING,5,0.4292124649634752,0.6482258116868163,0.008822733756332694
16,L3ARMAConv,nmf,AGGLOMERATIVE_CLUSTERING,6,0.3540991285590327,0.7152465340251316,0.008337087752431225
17,L3ARMAConv,nmf,BRICH,2,0.6174828410148621,0.7298459158006305,0.0928556689576356
18,L3ARMAConv,nmf,BRICH,3,0.5380041003227234,0.6476718301029566,0.06944615902586836
19,L3ARMAConv,nmf,BRICH,4,0.5470774173736572,0.8085418635047632,0.010067907181767657
20,L3ARMAConv,nmf,BRICH,5,0.5403040051460266,0.6825526365645183,0.006083724534549779
21,L3ARMAConv,nmf,BRICH,6,0.49167659878730774,0.5698571330626173,0.005682039731100779
22,L3ARMAConv,nmf,DBSCAN,2,0.707072281896375,0.8055448084539547,0.003968190981095538
23,L3ARMAConv,nmf,MEANSHIFT,2,0.6064818946818464,0.37781978887655576,0.0631418548911922
24,L3ARMAConv,nmf,SPECTRAL_CLUSTERING,2,0.540425091824757,0.5398832919062921,0.22132982016158476
25,L3ARMAConv,nmf,SPECTRAL_CLUSTERING,3,0.25008208924249903,0.7315329660878277,0.08799021024456452
26,L3ARMAConv,nmf,SPECTRAL_CLUSTERING,4,-0.03998778965621776,0.8543752198020149,0.003815677274965066
27,L3ARMAConv,nmf,SPECTRAL_CLUSTERING,5,-0.05882941393683388,0.9227845825623648,0.001948978822475253
28,L3ARMAConv,nmf,SPECTRAL_CLUSTERING,6,-0.06733330751139904,0.9523021257970714,0.0013083559171751494
29,L3ARMAConv,nmf,GAUSSIAN_MIXTURE,2,0.5071598218524633,0.8241703191393029,0.19380644751670606
30,L3ARMAConv,nmf,GAUSSIAN_MIXTURE,3,0.4908044400511237,0.350616576230427,0.062092179954795934
31,L3ARMAConv,nmf,GAUSSIAN_MIXTURE,4,0.41528895683141337,0.32435949809944237,0.03342096467846404
32,L3ARMAConv,nmf,GAUSSIAN_MIXTURE,5,0.4672207502433696,0.6665750050082498,0.007657457942524573
33,L3ARMAConv,nmf,GAUSSIAN_MIXTURE,6,0.4063111759609898,0.35404201833665655,0.008097361883229947
0,L3ARMAConv,fpdnmf,KMEANS,2,0.5583739274275169,0.8126354451431103,0.2445675465468802
1,L3ARMAConv,fpdnmf,KMEANS,3,0.5153413002624052,0.8468822388322577,0.08376843826174048
2,L3ARMAConv,fpdnmf,KMEANS,4,0.4803767270051858,0.7862737749433502,0.0327173947370759
3,L3ARMAConv,fpdnmf,KMEANS,5,0.4976187284618772,0.5643362507768988,0.025748906275568605
4,L3ARMAConv,fpdnmf,KMEANS,6,0.47659884283896603,0.9727224778098182,0.01656792413883973
5,L3ARMAConv,fpdnmf,PAM,2,0.5299877524375916,0.7997346400430629,0.24790082697100047
6,L3ARMAConv,fpdnmf,PAM,3,0.521965503692627,0.9885940703275042,0.09744694690625255
7,L3ARMAConv,fpdnmf,PAM,4,0.5001459717750549,0.7031755882874511,0.058480295617976595
8,L3ARMAConv,fpdnmf,PAM,5,0.5154482126235962,0.3252613678722008,0.038243727103604366
9,L3ARMAConv,fpdnmf,PAM,6,0.5347832441329956,0.5170628687508608,0.01591576638116616
10,L3ARMAConv,fpdnmf,COMMONNN,45,0.028356247004949584,0.6559061222675161,0.00023799927233926184
11,L3ARMAConv,fpdnmf,AFFINITY_PROPAGATION,11,0.5006793141365051,0.20084559237585248,0.005704953592396738
12,L3ARMAConv,fpdnmf,AGGLOMERATIVE_CLUSTERING,2,0.5433911433042721,0.8493541254452188,0.2445675465468802
13,L3ARMAConv,fpdnmf,AGGLOMERATIVE_CLUSTERING,3,0.43532686123372766,0.5010531312528632,0.08955305953314577
14,L3ARMAConv,fpdnmf,AGGLOMERATIVE_CLUSTERING,4,0.4214480343052132,0.5295581670247762,0.05238981403213419
15,L3ARMAConv,fpdnmf,AGGLOMERATIVE_CLUSTERING,5,0.4449021247188215,0.6521606671806102,0.016232301457549198
16,L3ARMAConv,fpdnmf,AGGLOMERATIVE_CLUSTERING,6,0.46491227413211045,0.6801757025446366,0.014567004597652096
17,L3ARMAConv,fpdnmf,BRICH,2,0.5329397916793823,0.9327471714071923,0.24196441326328155
18,L3ARMAConv,fpdnmf,BRICH,3,0.4672349691390991,0.7301506097529713,0.08221826479787071
19,L3ARMAConv,fpdnmf,BRICH,4,0.504574179649353,0.8859383306172484,0.054394807614585934
20,L3ARMAConv,fpdnmf,BRICH,5,0.5115771889686584,0.8682480612357798,0.017942767806906245
21,L3ARMAConv,fpdnmf,BRICH,6,0.5171659588813782,0.9293657780453964,0.015840260405091566
22,L3ARMAConv,fpdnmf,DBSCAN,6,0.04493065440114982,0.5046989068730152,0.009737051792828686
23,L3ARMAConv,fpdnmf,MEANSHIFT,3,0.47675094649130073,0.7794236037853717,0.010912262539131277
24,L3ARMAConv,fpdnmf,SPECTRAL_CLUSTERING,2,0.5583739274275169,0.8126354451431103,0.2445675465468802
25,L3ARMAConv,fpdnmf,SPECTRAL_CLUSTERING,3,0.4760521457907547,0.7462064786027558,0.042399135505577196
26,L3ARMAConv,fpdnmf,SPECTRAL_CLUSTERING,4,0.3979753015557819,0.9770730975339825,0.027211704295641403
27,L3ARMAConv,fpdnmf,SPECTRAL_CLUSTERING,5,0.4500649477361925,0.9904671524997481,0.015743937728325805
28,L3ARMAConv,fpdnmf,SPECTRAL_CLUSTERING,6,0.19649099527905783,0.9951642095339842,0.0031792897800254185
29,L3ARMAConv,fpdnmf,GAUSSIAN_MIXTURE,2,0.5098056000315564,0.9570249682035407,0.2498055586419263
30,L3ARMAConv,fpdnmf,GAUSSIAN_MIXTURE,3,0.4314146865394749,0.15120531821537764,0.08023754358491568
31,L3ARMAConv,fpdnmf,GAUSSIAN_MIXTURE,4,0.3918643060938363,0.7074237878175947,0.0511418170705114
32,L3ARMAConv,fpdnmf,GAUSSIAN_MIXTURE,5,0.31367602671852346,0.9216704512714808,0.03517342794066177
33,L3ARMAConv,fpdnmf,GAUSSIAN_MIXTURE,6,0.2721204282510074,0.832420183867442,0.013778039030373198
0,L3ARMAConv,pnmf,KMEANS,2,0.5266454947647137,0.41302155790122885,0.2276789257313376
1,L3ARMAConv,pnmf,KMEANS,3,0.5046802125108768,0.6767721935795399,0.06041293139198772
2,L3ARMAConv,pnmf,KMEANS,4,0.4401373651682986,0.5061881740193255,0.0210955971064015
3,L3ARMAConv,pnmf,KMEANS,5,0.3977867244546923,0.5352891736079601,0.018500062705660018
4,L3ARMAConv,pnmf,KMEANS,6,0.4289139183058264,0.5664085103048437,0.010164072384831364
5,L3ARMAConv,pnmf,PAM,2,0.4808173179626465,0.49795969243242655,0.2461865684671672
6,L3ARMAConv,pnmf,PAM,3,0.4966210722923279,0.6991226096118823,0.07905405376218211
7,L3ARMAConv,pnmf,PAM,4,0.438971608877182,0.6948394279389103,0.04743788073746073
8,L3ARMAConv,pnmf,PAM,5,0.4868379533290863,0.6260813225568898,0.008789341556548343
9,L3ARMAConv,pnmf,PAM,6,0.46361860632896423,0.2899449778057223,0.008287430445774742
10,L3ARMAConv,pnmf,COMMONNN,5,0.1321294810206,0.08724628642713975,0.0021682385898684126
11,L3ARMAConv,pnmf,AFFINITY_PROPAGATION,16,0.41178014874458313,0.7484932936919809,0.001366143503087865
12,L3ARMAConv,pnmf,AGGLOMERATIVE_CLUSTERING,2,0.5831588992567415,0.8332029023065144,0.0799669846510373
13,L3ARMAConv,pnmf,AGGLOMERATIVE_CLUSTERING,3,0.4250145490982567,0.9021580630326551,0.06274091360191006
14,L3ARMAConv,pnmf,AGGLOMERATIVE_CLUSTERING,4,0.38896128893970033,0.35427217988277376,0.04591275466537306
15,L3ARMAConv,pnmf,AGGLOMERATIVE_CLUSTERING,5,0.39597612076120164,0.501733155199405,0.009324136070355446
16,L3ARMAConv,pnmf,AGGLOMERATIVE_CLUSTERING,6,0.4080756852658322,0.6426219171161458,0.008268187747464127
17,L3ARMAConv,pnmf,BRICH,2,0.6530110239982605,0.37781978887655576,0.0631418548911922
18,L3ARMAConv,pnmf,BRICH,3,0.48227331042289734,0.5864488842550889,0.05247796316150545
19,L3ARMAConv,pnmf,BRICH,4,0.4781583547592163,0.7363509608235372,0.009444105782343075
20,L3ARMAConv,pnmf,BRICH,5,0.4925890266895294,0.34192806012263444,0.008731993527489408
21,L3ARMAConv,pnmf,BRICH,6,0.42351388931274414,0.3600027069642721,0.007971941273995286
22,L3ARMAConv,pnmf,DBSCAN,2,0.7024980509233525,0.7858000100002145,0.011809336359740321
23,L3ARMAConv,pnmf,MEANSHIFT,3,0.4521127243708382,0.30714589271485615,0.02027052081230404
24,L3ARMAConv,pnmf,SPECTRAL_CLUSTERING,2,0.5266454947647137,0.41302155790122885,0.2276789257313376
25,L3ARMAConv,pnmf,SPECTRAL_CLUSTERING,3,0.38365543181330364,0.859466744114137,0.09107974001651677
26,L3ARMAConv,pnmf,SPECTRAL_CLUSTERING,4,0.029702505030988376,0.9188408841676582,0.0038169115129223874
27,L3ARMAConv,pnmf,SPECTRAL_CLUSTERING,5,-0.02281031422819604,0.39563224052348556,0.0019490152149133127
28,L3ARMAConv,pnmf,SPECTRAL_CLUSTERING,6,-0.021317525555838632,0.46910419249720925,0.001308742339499917
29,L3ARMAConv,pnmf,GAUSSIAN_MIXTURE,2,0.5116080906225241,0.3180877784825292,0.23218679068586212
30,L3ARMAConv,pnmf,GAUSSIAN_MIXTURE,3,0.5132761712444684,0.5164203705667791,0.05177064649062342
31,L3ARMAConv,pnmf,GAUSSIAN_MIXTURE,4,0.39312740338052543,0.1964610651277436,0.04067594278346898
32,L3ARMAConv,pnmf,GAUSSIAN_MIXTURE,5,0.41122021953559257,0.5803144143504921,0.018167900604759795
33,L3ARMAConv,pnmf,GAUSSIAN_MIXTURE,6,0.39979551171739075,0.6965164867305801,0.01524009019461057
0,L3ARMAConv,gnmf,KMEANS,2,0.5328278151753473,0.2552726528035518,0.18799701592038223
1,L3ARMAConv,gnmf,KMEANS,3,0.5680574789697711,0.3950741897860464,0.07867386564518566
2,L3ARMAConv,gnmf,KMEANS,4,0.5441278733787985,0.7855749779813822,0.02686067776615034
3,L3ARMAConv,gnmf,KMEANS,5,0.5645476369224488,0.9159983576495437,0.015080405531493419
4,L3ARMAConv,gnmf,KMEANS,6,0.5069162713529877,0.9731020928730038,0.01318467139844587
5,L3ARMAConv,gnmf,PAM,2,0.4339887201786041,0.9860518176160841,0.20110791892192187
6,L3ARMAConv,gnmf,PAM,3,0.5057500004768372,0.6926755623510727,0.09018925904615696
7,L3ARMAConv,gnmf,PAM,4,0.47929447889328003,0.5412783794610645,0.04513733158547672
8,L3ARMAConv,gnmf,PAM,5,0.4804271161556244,0.7253752749456265,0.02363998224776985
9,L3ARMAConv,gnmf,PAM,6,0.5166532397270203,0.7352454268162694,0.009336431880034798
10,L3ARMAConv,gnmf,COMMONNN,32,0.016204060475881264,0.28750054427270944,0.00038193291771755345
11,L3ARMAConv,gnmf,AGGLOMERATIVE_CLUSTERING,2,0.5426759466506922,0.2879508532988821,0.1776797193695338
12,L3ARMAConv,gnmf,AGGLOMERATIVE_CLUSTERING,3,0.44879205079157763,0.47423546175833287,0.10437794277435712
13,L3ARMAConv,gnmf,AGGLOMERATIVE_CLUSTERING,4,0.49162928810867745,0.6768582939135928,0.02424376077887397
14,L3ARMAConv,gnmf,AGGLOMERATIVE_CLUSTERING,5,0.5159006998076405,0.8171202916103832,0.013639747586160482
15,L3ARMAConv,gnmf,AGGLOMERATIVE_CLUSTERING,6,0.5192554500755273,0.8968660113658894,0.011571677814302976
16,L3ARMAConv,gnmf,BRICH,2,0.613008975982666,0.9138592315596582,0.09910953794384217
17,L3ARMAConv,gnmf,BRICH,3,0.5931228995323181,0.9732122446894093,0.026905887863362517
18,L3ARMAConv,gnmf,BRICH,4,0.4916861951351166,0.5999207213320341,0.023416747992689346
19,L3ARMAConv,gnmf,BRICH,5,0.4815332591533661,0.6398319328956679,0.007566388301643077
20,L3ARMAConv,gnmf,BRICH,6,0.47729942202568054,0.5233181672124825,0.004545176620693647
21,L3ARMAConv,gnmf,DBSCAN,3,-0.011399000742996865,0.4545624819669236,0.04750975251184283
22,L3ARMAConv,gnmf,MEANSHIFT,3,0.5598650022738849,0.8971172437703546,0.023286165682099187
23,L3ARMAConv,gnmf,SPECTRAL_CLUSTERING,2,0.5328278151753473,0.2552726528035518,0.18799701592038223
24,L3ARMAConv,gnmf,SPECTRAL_CLUSTERING,3,0.5605301961610402,0.8290531121706222,0.02754666353790982
25,L3ARMAConv,gnmf,SPECTRAL_CLUSTERING,4,0.04938813089473277,0.9790276836125705,0.02805866231543873
26,L3ARMAConv,gnmf,SPECTRAL_CLUSTERING,5,-0.21990686804664492,0.9239709193784371,0.003454161215670083
27,L3ARMAConv,gnmf,SPECTRAL_CLUSTERING,6,-0.2632114879794195,0.9465037906874628,0.0018405936983817823
28,L3ARMAConv,gnmf,GAUSSIAN_MIXTURE,2,-0.04098689008002414,0.8115273482096546,0.2311074427390041
29,L3ARMAConv,gnmf,GAUSSIAN_MIXTURE,3,0.23070116446044045,0.6104876410628725,0.05419217920349361
30,L3ARMAConv,gnmf,GAUSSIAN_MIXTURE,4,0.44613400535802833,0.5956900481495739,0.03458151974969858
31,L3ARMAConv,gnmf,GAUSSIAN_MIXTURE,5,0.40274484623647105,0.8625265322408631,0.017797936294568304
